Code,Title,Brand,Model,Price,Category
5086998,"""Lavadora E Secadora Wd6000J 9Kg Branca""","""Samsung""","""Samsung""",2699,ed
5166817,"""Lavadora E Secadora Ecobubble 10.2Kg Prata""","""Samsung""","""Samsung""",3059,ed
6967628,"""Lavadora de Roupas 2.7Kg New Pioneer Colormaq Automática""","""COLORMAQ""","""""",269.9,ed
6505656,"""Lava e Seca 11Kg LG Prime Touch 11Kg 127V Branca 14 Programas de Lavagem""","""LG""","""""",2899,ed
6911187,"""Lavadora de Roupas Midea Lava  Seca Acqua 10,1Kg Branca 127v LSA101""","""Midea""","""""",2022.5,ed
5226294,"""Lavadora E Secadora Wd7000 15Kg Inox Look""","""Samsung""","""Samsung""",6999,ed
6147160,"""Lava e Seca LG Prime Touch LED 8,5Kg Branca 127V - WD1485ATB""","""LG""","""""",2480,ed
5529190,"""Lavadora de Roupas Lavamatic 12Kg Suggar 127V Branco""","""Suggar""","""""",499.9,ed
6413438,"""Lava E Seca Midea Branca 8kg 127v""","""Midea""","""""",1998.99,ed
7060984,"""Lava e Seca LG Top Gun Branca 14 kg 220V  WD1014RWA""","""LG""","""""",4187,ed
5004076,"""Lavadora Automática Popmatic 6kg 127v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",1144.05,ed
5772088,"""Lavadora Automática Energy 6kg 220v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",1189.22,ed
5497384,"""Lavadora Lava e Seca Vip 220v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",3471.18,ed
5555160,"""Lavadora Automática Energy 6kg 127v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",1189.22,ed
5550577,"""Lavadora Lava e Seca Evo 220v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",2967.96,ed
5328805,"""Lavadora Lava e Seca Evo 127v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",2967.96,ed
5280058,"""Lavadora Lava e Seca Vip 127v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",3471.18,ed
5439967,"""Lavadora de Roupa Wanke 5Kg Space Semiautomática com Timer e Lavagem por Agitação""","""WANKE""","""""",453.5,ed
5490725,"""Lavadora E Secadora Wd6000J 10.2Kg Inox Look""","""Samsung""","""Samsung""",3299,ed
5365719,"""Lavadora Automática Popmatic 6kg 220v 60hz Branco""","""Mueller lavadoras""","""Mueller lavadoras""",1144.05,ed
6018485,"""Lavadora de Roupas Wanke 12kg Isabela""","""WANKE""","""""",369.9,ed
6434449,"""Lava e Seca, Samsung, 10.4kg, WD10M44530W""","""SAMSUNG L.BRANCA""","""Samsung l.branca""",2599.9,ed
