Code,Title,Brand,Model,Price,Category
6567341,"""Geladeira/Refrigerador Electrolux 1 Porta RE31 240 Litros Branco""","""Electrolux""","""""",1059,ed
6859487,"""Geladeira Refrigerador Consul 261L 1 Porta Degelo Seco Classe A - CRA30FB""","""CONSUL""","""""",1149.9,ed
6302486,"""GeladeiraRefrigerador Electrolux 322 Litros Frost Free RFE39""","""ELECTROLUX""","""""",1349.9,ed
7535225,"""Mini Geladeira 04L BC 220V 12V TV010 Multilaser""","""Multilaser""","""""",241.9,ed
6687044,"""GeladeiraRefrigerador Electrolux 427 Litros Frost Free DF53""","""ELECTROLUX""","""""",2499.9,ed
7355530,"""Refrigerador Degelo Autolimpante  262L Cycle Defrost Branco (RDE33)""","""Electrolux""","""Electrolux""",1299,ed
7652537,"""Refrigerador 240 Litros 1 Porta Classe A Electrolux - Re31""","""ELECTROLUX""","""""",1029.9,ed
8378724,"""Geladeira Consul Frost Free 342 litros cor Inox com Gavetão Hortifruti""","""Consul""","""""",1699,ed
8537470,"""Frigobar Brastemp Retrô 76 Litros Marsala Wine 110V BRA08BGANA""","""Brastemp""","""""",1599,ed
6302219,"""Geladeira/Refrigerador Panasonic 2 Portas Frost Free NR-BB53GV3B 425 Litros Preto""","""Panasonic""","""""",4099,ed
6385429,"""GeladeiraRefrigerador Electrolux 427 Litros Frost Free DF53X""","""ELECTROLUX""","""""",3099.9,ed
6495870,"""Refrigerador Electrolux Cycle Defrost 260 Litros 2 Portas Design Moderno DC35A""","""ELECTROLUX""","""""",1299.9,ed
7475300,"""Refrigerador 323 Litros Electrolux 1 Porta Frost Free RFE39""","""ELECTROLUX""","""""",1302.9,ed
6580356,"""Refrigerador Electrolux 2 Portas 370 Litros Frost Free DFX41""","""ELECTROLUX""","""""",1959.9,ed
5895130,"""Refrigerador Frost Free 370L DFX42 Inox Electrolux""","""Electrolux""","""""",2799.9,ed
7030147,"""Refrigerador Degelo Prático  240L Cycle Defrost Branco (RE31)""","""Electrolux""","""Electrolux""",1299,ed
2202779,"""Frigobar Brastemp 117L Cinza Escuro""","""brastemp""","""BRC12XK""",1549.9,ed
6704975,"""Refrigerador Electrolux Cycle Defrost 262L 220V""","""Electrolux""","""""",1209.9,ed
6038674,"""Refrigerador Electrolux Cycle Defrost 262L 220V""","""Electrolux""","""""",1209.99,ed
6496682,"""Refrigerador Consul 405 Litros 2 Portas Frost Free Painel Touchscreen CRM51""","""CONSUL""","""""",2399.9,ed
6224944,"""Refrigerador 2 Portas 400L Frost Free Brastemp BRM54HK""","""Brastemp""","""""",3199.9,ed
6749225,"""Geladeira Refrigerador Electrolux Frost Free Duplex 371L DFN41""","""ELECTROLUX""","""""",1979.9,ed
6364837,"""Refrigerador Consul 386 Litros 2 Portas Frost Free Classe A CRM43NB""","""CONSUL""","""""",2099.9,ed
6087632,"""Refrigerador 2 Portas 454L Frost Free DB53 Electrolux""","""Electrolux""","""""",3499.9,ed
6399701,"""Geladeira/Refrigerador Electrolux 2 Portas Cycle Defrost DC35A 260 Litros Branco""","""Electrolux""","""""",1269,ed
2190571,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Inverter Duplex 427L Painel Touch IF53X""",3399.9,ed
2190073,"""Geladeira/Refrigerador LG Frost Free Bottom ""","""lg""","""Freezer Universe 445L GC-B59BSB (1) Aço Escovado""",5999,ed
2190569,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Inverter Duplex 427L Painel Touch IF53 Branco""",3099.9,ed
842561,"""Filtro Cartucho para Refrigerador""","""electrolux""","""Electrolux 69999943""",69.9,ed
842559,"""Filtro de Água Interno para Refrigerador 40396401""","""electrolux""","""Side By Side - Electrolux""",309,ed
130854,"""Geladeira/Refrigerador Samsung Frost Free Inox""","""samsung""","""Duplex 453L 5-em-1 Twin Cooling Plus RT6000K""",3699,ed
130720,"""Geladeira Electrolux Frost Free Inox""","""electrolux""","""454L Painel Touch DB52X11089""",4049.9,ed
842577,"""Lâmpada para Refrigerador 127V 15W""","""electrolux""","""Electrolux 64641425""",15.9,ed
